# qSol1, qSol2, qSol3, t
2.70475e-01, -7.39558e-03, -1.57345e-01, 7.46000e+00
2.62384e-01, 3.27713e-02, -1.54538e-01, 7.48000e+00
2.44487e-01, 7.37712e-02, -1.47990e-01, 7.50000e+00
2.18312e-01, 1.13747e-01, -1.37016e-01, 7.52000e+00
1.85697e-01, 1.50807e-01, -1.21039e-01, 7.54000e+00
1.48676e-01, 1.83144e-01, -9.96430e-02, 7.56000e+00
1.09368e-01, 2.09164e-01, -7.26108e-02, 7.58000e+00
6.98572e-02, 2.27586e-01, -3.99652e-02, 7.60000e+00
3.20835e-02, 2.37543e-01, -1.99166e-03, 7.62000e+00
-2.24913e-03, 2.38643e-01, 4.07498e-02, 7.64000e+00
-3.17496e-02, 2.31012e-01, 8.74280e-02, 7.66000e+00
-5.53930e-02, 2.15295e-01, 1.36960e-01, 7.68000e+00
-7.25481e-02, 1.92635e-01, 1.88044e-01, 7.70000e+00
-8.29800e-02, 1.64608e-01, 2.39210e-01, 7.72000e+00
-8.68283e-02, 1.33141e-01, 2.88882e-01, 7.74000e+00
-8.45632e-02, 1.00400e-01, 3.35442e-01, 7.76000e+00
-7.69238e-02, 6.86573e-02, 3.77310e-01, 7.78000e+00
-6.48438e-02, 4.01627e-02, 4.13021e-01, 7.80000e+00
